Title,Type,Amount,Category,Description,Date,PaymentMethod
Software Engineer Salary,INCOME,5200,Salary,Monthly company salary,2026-06-01T09:00:00.000Z,BANK_TRANSFER
Morning Coffee,EXPENSE,6.75,Food & Drink,Coffee before work,2026-06-02T08:15:00.000Z,MOBILE_PAYMENT
Cloud Hosting Payment,EXPENSE,45,Software,Monthly VPS subscription,2026-06-03T10:00:00.000Z,CARD
Mobile App Project,INCOME,1400,Freelance,React Native app development,2026-06-04T16:30:00.000Z,BANK_TRANSFER
Supermarket Shopping,EXPENSE,135.25,Groceries,Monthly household supplies,2026-06-05T18:00:00.000Z,CARD
Electric Bill,EXPENSE,95,Utilities,Home electricity payment,2026-06-06T07:00:00.000Z,AUTO_DEBIT
Crypto Profit,INCOME,300,Investment,Crypto trading gain,2026-06-07T13:00:00.000Z,OTHER
Cab Ride,EXPENSE,18.5,Transport,Ride to client office,2026-06-08T09:30:00.000Z,MOBILE_PAYMENT
Online Book Purchase,EXPENSE,35.99,Education,Programming books purchase,2026-06-09T14:00:00.000Z,CARD
Website Maintenance,INCOME,650,Freelance,Monthly website support,2026-06-10T15:00:00.000Z,BANK_TRANSFER
Restaurant Lunch,EXPENSE,42.6,Food & Drink,Weekend lunch,2026-06-11T13:20:00.000Z,CARD
Gaming Stream Donation,INCOME,150,Side Hustle,Viewer donations,2026-06-12T20:00:00.000Z,CASH
Movie Ticket,EXPENSE,20,Entertainment,Cinema night,2026-06-13T19:30:00.000Z,CARD
Fitness Subscription,EXPENSE,60,Fitness,Monthly gym membership,2026-06-14T06:00:00.000Z,AUTO_DEBIT
UI Design Work,INCOME,900,Freelance,Dashboard design project,2026-06-15T11:00:00.000Z,BANK_TRANSFER
Phone Recharge,EXPENSE,25,Utilities,Monthly mobile recharge,2026-06-16T08:00:00.000Z,MOBILE_PAYMENT
Dividend Income,INCOME,180,Investment,Stock dividend received,2026-06-17T10:00:00.000Z,BANK_TRANSFER
Pet Supplies,EXPENSE,65,Shopping,Dog food and accessories,2026-06-18T17:00:00.000Z,CARD
Consulting Fee,INCOME,800,Consulting,Business consultation session,2026-06-19T12:00:00.000Z,BANK_TRANSFER
Taxi Payment,EXPENSE,22,Transport,Airport travel,2026-06-20T18:00:00.000Z,CASH

Digital Course Sale,INCOME,450,Side Hustle,Online course revenue,2026-05-02T12:00:00.000Z,OTHER
Internet Bill,EXPENSE,55,Utilities,Home broadband bill,2026-05-05T09:00:00.000Z,AUTO_DEBIT
Laptop Accessories,EXPENSE,150,Shopping,New keyboard and mouse,2026-05-08T15:30:00.000Z,CARD
Backend API Project,INCOME,2000,Freelance,Node.js API development,2026-05-10T11:00:00.000Z,BANK_TRANSFER
